Relative Pressure (P/Po),Quantity Adsorbed (cm3/g STP)
7.24E-05,0.059549837
0.000143586,3.026184852
0.000194756,16.53732601
0.00022592,29.84250581
0.000262361,43.36837354
0.000320934,56.89203208
0.000342678,57.50471405
0.000410737,66.81840297
0.000490593,80.33333333
0.000529528,87.69896027
0.000645145,101.1904207
0.000669906,101.4092305
0.000824694,114.9237822
0.001013574,128.3717372
0.00101671,128.4660155
0.00130365,141.3032419
0.00169959,154.6764649
0.00211443,164.4050733
0.00259059,173.3764972
0.003406121,184.9508076
0.004145448,193.5951485
0.005452415,205.5505385
0.006729352,215.1085947
0.008632363,226.6603701
0.010891724,237.8276216
0.013800564,249.475923
0.017400576,261.3271742
0.02206847,273.9915493
0.027823594,287.1704581
0.034458049,300.4402799
0.04178732,313.6324456
0.044868541,318.8176061
0.053004415,331.8935623
0.054801326,334.6644712
0.065061032,349.7306052
0.071749888,359.3630897
0.081785963,375.011408
0.088453998,386.4904632
0.099542319,402.6434718
0.114468276,415.0352848
0.139194114,428.3647669
0.155310622,435.8550612
0.181102132,449.3410599
0.192015037,466.6925008
0.206189304,484.3913337
0.246715808,489.9405963
0.302737488,494.7946204
0.372465882,499.2621787
0.474121004,504.0554382
0.537798314,506.4419416
0.6024543,508.5310074
0.643579302,509.766442
0.684178419,510.9183505
0.724252702,512.0417574
0.76441783,513.1788822
0.790465116,513.9412032
0.815945002,514.7228606
0.841290606,515.5691493
0.866639427,516.5156892
0.913918632,518.889054
0.941891352,521.2446575
0.965929407,525.372877
