Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
0.009596,24.2625
0.009612,48.6125
0.009916,110.3375
0.010389,176.9
0.011031505,292.5
0.011550807,398.125
0.012094554,488
0.012523,524.8875
0.014087,563.2875
0.015418,597.0375
0.017685,640.6875
0.018549,696.1125
0.019567,741.0125
0.020351,784.6625
0.020587,811.9125
0.022229,841.95
0.024027,864.8625
0.025434,882.825
0.027544,918.125
0.029967,946
0.032625,973.5625
0.035154,1003.6625
0.037262,1027.75
0.043028,1052.825
0.048236,1084.3
0.054746,1111.1
0.059644,1136.1875
0.062374,1170.6
0.067892,1203.3
0.074278,1242.3875
0.080293,1280.7375
0.084014,1308.7625
0.090585,1329.425
0.09759,1361.15
0.105525,1382.8
0.115814,1414.05
0.134969,1457.1125
0.15282,1491.0875
0.161188,1500.45
0.207176,1528.125
0.226389,1534.575
0.247586,1539.8125
0.256944,1543.525
0.269588,1547.0125
0.291032,1553.9625
0.30975,1555.75
0.33423,1560.75
0.359331,1565.9875
0.383316,1569.275
0.40854,1573.5375
0.434137,1576.5625
0.460167,1579.6
0.484834,1580.175
0.510306,1584.2
0.535346,1589.4375
0.58598,1593.05
0.611212,1598.4875
0.661582,1602.1625
0.686571,1603.0375
0.711659,1606.2375
0.762915,1606.8
0.788102,1609.225
0.813091,1610.1
0.838867,1612.1375
0.889237,1613.0875
0.894846,1614.6625
0.911964,1616.275
0.944823,1619.125
